Sample in Buffer,Sample in Window,TRIGGER,design_1_i/adc_interface_0_m_axis_tdata[31:0],design_1_i/adc_interface_0_m_axis_tlast,design_1_i/adc_interface_0_m_axis_tvalid,design_1_i/adc_interface_0_adc_signed_debug[15:0],design_1_i/adc_interface_0_win_coeff_out[15:0],design_1_i/adc_data[13:0],design_1_i/adc_interface_0_adc_data_original[13:0],design_1_i/adc_interface_0_adc_data_original_valid,design_1_i/xfft_0_m_axis_data_tdata[63:0],design_1_i/xfft_0_m_axis_data_tlast,design_1_i/xfft_0_m_axis_data_tvalid
Radix - UNSIGNED,UNSIGNED,UNSIGNED,SIGNED,HEX,HEX,HEX,HEX,UNSIGNED,UNSIGNED,HEX,HEX,HEX,HEX
94,94,0,8105,0,1,1ce6,001c,7398,8105,1,fffffba5ffffff57,0,0
95,95,0,7815,0,1,1cf6,001c,7414,7815,1,fffffba5ffffff57,0,0
96,96,0,7586,0,1,1d62,001c,7522,7586,1,fffffba5ffffff57,0,0
97,97,0,7397,0,1,1e4a,001c,7754,7397,1,fffffba5ffffff57,0,0
98,98,0,7391,0,1,1f57,001c,8023,7391,1,fffffba5ffffff57,0,0
99,99,0,7500,0,1,20a9,001c,8361,7500,1,fffffba5ffffff57,0,0
100,100,0,7699,0,1,21da,001c,8666,7699,1,fffffba5ffffff57,0,0
101,101,0,7995,0,1,22c0,001c,8896,7995,1,fffffba5ffffff57,0,0
102,102,0,8322,0,1,2328,001c,9000,8322,1,fffffba5ffffff57,0,0
103,103,0,8651,0,1,233d,001c,9021,8651,1,fffffba5ffffff57,0,0
104,104,0,8889,0,1,2377,001c,9079,8889,1,fffffba5ffffff57,0,0
105,105,0,8998,0,1,237e,001c,9086,8998,1,fffffba5ffffff57,0,0
106,106,0,8989,0,1,217d,001c,8573,8989,1,fffffba5ffffff57,0,0
107,107,0,8869,0,1,2b65,001c,8293,8869,1,fffffba5ffffff57,0,0
108,108,0,8616,0,1,1fd8,001c,8024,8616,1,fffffba5ffffff57,0,0
109,109,0,8303,0,1,1deb,001c,7659,8303,1,fffffba5ffffff57,0,0
110,110,0,7982,0,1,1dfe,001c,7674,7982,1,fffffba5ffffff57,0,0
111,111,0,7701,0,1,1cf6,001c,7414,7701,1,fffffba5ffffff57,0,0
112,112,0,7503,0,1,1d0c,001c,7436,7503,1,fffffba5ffffff57,0,0
113,113,0,7363,0,1,1d94,001c,7572,7363,1,fffffba5ffffff57,0,0
114,114,0,7417,0,1,1eb7,001c,7863,7417,1,fffffba5ffffff57,0,0
115,115,0,7602,0,1,2004,001c,8196,7602,1,fffffba5ffffff57,0,0
116,116,0,7800,0,1,2148,001c,8520,7800,1,fffffba5ffffff57,0,0
117,117,0,8124,0,1,224a,001c,8778,8124,1,fffffba5ffffff57,0,0
118,118,0,8462,0,1,22e7,001c,8935,8462,1,fffffba5ffffff57,0,0
119,119,0,8767,0,1,233c,001c,9020,8767,1,fffffba5ffffff57,0,0
120,120,0,8954,0,1,22e6,001c,8934,8954,1,fffffba5ffffff57,0,0
121,121,0,8996,0,1,21f8,001c,8696,8996,1,fffffba5ffffff57,0,0
122,122,0,8908,0,1,210d,001c,8461,8908,1,fffffba5ffffff57,0,0
123,123,0,8753,0,1,1fb6,001c,8118,8753,1,fffffba5ffffff57,0,0
124,124,0,8517,0,1,1e82,001c,7810,8517,1,fffffba5ffffff57,0,0
125,125,0,8174,0,1,1d9d,001c,7581,8174,1,fffffba5ffffff57,0,0
126,126,0,7836,0,1,1cf9,001c,7417,7836,1,fffffba5ffffff57,0,0
127,127,0,7562,0,1,1d05,001c,7429,7562,1,fffffba5ffffff57,0,0
128,128,0,7430,0,1,1d2d,001c,7469,7430,1,fffffba5ffffff57,0,0
129,129,0,7394,0,1,1df3,001c,7667,7394,1,fffffba5ffffff57,0,0
130,130,0,7468,0,1,1f68,001c,8040,7468,1,fffffba5ffffff57,0,0
131,131,0,7679,0,1,20b9,001c,8377,7679,1,fffffba5ffffff57,0,0
132,132,0,7962,0,1,21a3,001c,8611,7962,1,fffffba5ffffff57,0,0
133,133,0,8305,0,1,22a5,001c,8869,8305,1,fffffba5ffffff57,0,0
134,134,0,8583,0,1,2326,001c,8998,8583,1,fffffba5ffffff57,0,0
135,135,0,8841,0,1,22ff,001c,8959,8841,1,fffffba5ffffff57,0,0
136,136,0,8976,0,1,2286,001c,8838,8976,1,fffffba5ffffff57,0,0
137,137,0,9000,0,1,21b6,001c,8630,9000,1,fffffba5ffffff57,0,0
138,138,0,8854,0,1,20a3,001c,8355,8854,1,fffffba5ffffff57,0,0
